Ins,Del,Sub,Stem,Syn,Phrase,Shft,WdSh,NumEr,NumWd,TERp
1,2,5,0,0,0,0,0,10.895,13,83.811
6,5,6,0,0,1,1,2,18.9,35,54.001
1,4,2,1,0,0,0,0,9.08,14,64.855
3,1,2,0,1,0,0,0,5.317,15,35.444
7,0,7,0,0,2,0,0,13.693,27,50.714
3,4,2,0,0,0,0,0,9.597,13,73.826
14,4,11,2,4,3,3,4,30.316,65,46.64
3,1,0,0,0,0,0,0,2.203,6,36.725
2,9,0,0,0,2,2,4,15.202,27,56.303
0,11,6,0,1,1,1,1,26.097,39,66.915
0,1,0,0,0,1,0,0,1.427,9,15.855
0,1,0,0,0,0,1,1,1.989,14,14.207
0,2,9,2,0,0,1,1,17.425,19,91.71
3,0,1,0,0,0,1,1,2.895,10,28.952
5,6,7,0,1,0,2,2,21.876,33,66.29
0,4,1,0,0,0,0,0,7.264,10,72.643
5,0,1,0,0,3,0,0,4.029,18,22.384
1,2,5,0,0,1,0,0,10.895,18,60.53
4,0,1,0,0,0,0,0,2.592,3,86.399
0,1,3,0,1,0,0,0,6.097,12,50.805
4,0,4,0,1,0,0,0,7.262,13,55.858
1,0,0,0,0,2,0,0,1.229,11,11.172
7,7,15,0,2,2,2,2,36.273,44,82.438
0,0,4,0,0,0,0,0,6.226,13,47.894
3,4,7,0,1,2,1,1,18.63,24,77.625
2,7,6,0,1,1,0,0,20.068,33,60.813
0,2,3,0,1,1,0,0,9.214,20,46.071
3,10,4,1,0,0,2,2,22.396,30,74.654
7,5,5,0,1,1,1,1,17.981,18,99.894
0,2,1,0,0,2,0,0,4.977,11,45.247
1,0,2,0,0,2,0,0,4.399,7,62.847
2,1,1,0,0,0,0,0,3.501,13,26.932
8,11,2,0,2,1,1,2,22.14,22,100.0
8,12,7,1,0,1,2,2,31.894,28,100.0
3,8,14,1,1,0,2,4,35.108,56,62.693
2,0,1,0,0,1,0,0,2.847,9,31.633
0,1,4,0,0,0,0,0,7.653,8,95.664
5,4,6,2,1,2,2,4,17.845,33,54.074
3,4,3,0,2,1,1,1,12.113,25,48.451
6,4,6,1,0,0,0,0,16.6,25,66.401
0,0,2,0,0,0,0,0,3.113,6,51.885
4,3,9,1,1,0,1,1,19.887,24,82.863
2,2,1,0,1,0,1,1,5.49,14,39.216
11,1,3,1,5,0,2,3,10.068,32,31.463
1,5,5,0,1,2,0,0,15.176,32,47.426
4,1,1,0,2,0,0,0,4.019,14,28.706
1,1,2,0,1,1,0,0,4.799,16,29.993
0,2,1,0,1,1,0,0,5.336,12,44.466
3,2,3,0,2,1,0,0,8.907,23,38.727
5,1,3,1,0,0,0,0,7.391,18,41.06
1,5,3,0,0,2,0,0,12.621,30,42.069
3,5,4,1,1,0,0,0,14.137,17,83.161
0,7,1,0,1,0,1,1,12.107,24,50.446
2,1,4,0,0,1,0,0,8.743,23,38.014
4,6,12,0,2,1,1,1,28.838,31,93.025
0,5,3,0,0,0,0,0,11.804,18,65.58
3,2,3,0,0,0,0,0,8.3,10,83.001
1,2,2,1,0,1,1,2,7.05,23,30.654
1,5,5,0,0,0,0,0,15.176,30,50.588
1,1,3,0,0,1,0,0,6.355,7,90.792
12,3,17,2,1,2,2,4,35.849,52,68.94
6,10,0,0,1,1,3,4,17.509,19,92.151
2,5,7,0,0,0,0,0,18.548,23,80.644
6,4,4,1,1,4,2,6,16.003,36,44.453
2,7,7,1,1,3,3,4,26.849,44,61.02
3,12,8,0,2,1,5,5,33.686,36,93.571
3,1,4,0,1,0,1,2,8.992,23,39.095
1,7,2,0,1,1,0,0,13.982,24,58.259
2,0,0,0,1,0,1,3,1.08,12,8.998
0,1,0,0,0,1,2,3,3.174,10,31.741
2,1,5,0,1,1,0,0,10.081,14,72.006
4,7,3,0,1,2,0,0,17.376,23,75.549
1,1,4,0,1,0,0,0,7.912,20,39.56
0,0,1,0,0,0,0,0,1.557,6,25.942
1,1,2,0,0,0,1,1,5.361,16,33.506
3,1,2,1,1,1,1,1,6.28,22,28.548
0,2,7,0,0,1,1,1,14.312,23,62.225
0,0,0,0,0,1,0,0,0.0,5,0.0
6,3,6,1,2,3,1,2,16.607,40,41.517
1,1,1,0,0,0,0,0,3.242,6,54.039
0,0,0,0,1,0,0,0,0.0,6,0.0
5,10,11,0,1,7,2,4,35.709,52,68.671
2,0,3,0,0,0,1,6,5.749,16,35.934
1,0,4,1,0,0,0,0,6.485,17,38.147
0,7,8,0,0,0,1,2,23.003,21,100.0
2,1,2,2,1,0,2,4,6.182,20,30.909
0,1,1,0,0,1,0,0,3.216,6,53.607
0,0,2,0,0,0,0,0,3.113,12,25.942
1,1,2,1,0,0,0,0,4.799,13,36.914
9,3,9,0,1,1,2,3,21.909,29,75.549
3,13,4,0,1,1,0,0,27.522,45,61.159
0,0,0,0,0,0,0,0,0.0,5,0.0
2,7,7,1,0,1,0,0,21.402,31,69.039
8,3,3,2,1,0,3,3,12.707,22,57.761
0,1,0,0,0,1,0,0,1.986,14,14.185
5,3,6,1,1,1,0,0,15.212,31,49.072
1,1,0,0,0,0,0,0,1.686,12,14.048
9,2,12,0,2,2,0,0,25.253,28,90.188
3,12,3,1,1,0,3,4,24.256,34,71.34
2,3,1,0,0,0,1,3,6.917,12,57.643
3,3,0,0,0,2,2,3,6.772,28,24.185
3,2,1,0,2,1,0,0,5.187,14,37.05
0,1,2,1,0,0,0,0,4.54,8,56.75
1,1,3,1,0,0,0,0,6.355,17,37.385
4,2,2,0,1,0,2,2,8.126,17,47.803
5,6,3,0,1,0,1,3,15.088,29,52.026
8,0,5,1,0,1,2,2,11.394,16,71.213
3,1,2,0,0,1,0,0,5.934,8,74.175
8,16,8,1,1,3,3,3,39.414,53,74.365
1,1,1,0,1,0,0,0,3.242,19,17.065
0,1,0,0,0,0,0,0,1.427,14,10.192
1,2,2,0,1,0,0,0,6.226,15,41.505
5,9,3,0,0,1,1,2,20.108,21,95.755
4,2,7,1,0,1,3,7,16.85,26,64.808
13,14,19,2,4,4,3,5,56.799,64,88.749
0,3,2,0,0,0,0,0,7.394,10,73.939
9,11,5,1,1,1,0,0,26.694,33,80.891
6,0,3,0,0,1,2,4,7.347,18,40.816
3,3,8,0,1,0,0,0,17.51,20,87.549
4,3,1,2,0,0,0,0,6.873,20,34.364
0,3,2,0,1,0,0,0,7.394,12,61.616
7,5,2,0,1,0,0,0,12.06,25,48.239
0,0,0,0,0,0,0,0,0.0,30,0.0
0,0,1,0,1,0,0,0,1.557,5,31.131
0,0,0,0,0,0,0,0,0.0,5,0.0
0,0,1,0,0,0,0,0,1.557,3,51.885
3,2,5,0,1,0,1,2,11.975,13,92.117
0,3,2,0,0,0,0,0,7.394,11,67.217
1,7,3,0,0,0,0,0,14.917,17,87.747
6,4,8,1,0,2,2,3,22.304,34,65.599
5,2,10,1,3,1,1,1,20.829,24,86.787
2,4,3,0,1,0,0,0,10.895,18,60.528
0,0,0,0,1,2,0,0,1.528,14,10.911
0,1,3,0,0,0,0,0,6.097,8,76.207
4,2,0,0,0,0,1,2,4.451,8,55.642
2,1,5,0,0,3,2,2,12.358,38,32.521
2,5,6,0,0,1,1,1,18.71,28,66.822
0,4,2,0,1,0,0,0,8.821,12,73.507
8,3,2,0,0,5,1,1,12.023,27,44.529
6,4,12,1,1,0,3,3,27.626,33,83.714
2,9,4,0,1,1,1,3,20.847,38,54.862
0,0,0,0,0,0,0,0,0.0,11,0.0
