human,bert_f1_deberta_xlarge_mnli,bert_p_deberta_xlarge_mnli,bert_r_deberta_xlarge_mnli,bert_f1_roberta_large_mnli,bert_r_roberta_large_mnli,bert_p_roberta_large_mnli,bert_f1_bart_mnli,bert_r_bart_mnli,bert_p_bart_mnli
0.452788211039436,0.77752095,0.7415651,0.81307685,0.680547,0.7349703,0.626134,0.8764135,0.8975227,0.8562745
0.485536524204003,0.7738106,0.7893853,0.75669587,0.715623,0.7080055,0.7223339,0.87267244,0.8798991,0.8655636
-0.888025711094521,0.38745877,0.2965497,0.48571256,0.14655869,0.30902138,-0.008766254,0.65307593,0.7126821,0.6026707
0.407911031848076,0.7100756,0.6936251,0.7244593,0.60776526,0.5859154,0.62850446,0.8328593,0.8306538,0.83507645
-0.640085432265542,0.46383035,0.4470153,0.47661212,0.4305327,0.49298847,0.3676814,0.6903009,0.70982945,0.67181814
0.519403255840992,0.85220194,0.9286617,0.78025013,0.8317049,0.7624557,0.90210277,0.90573317,0.8682914,0.9465495
-0.677074926500865,0.33607978,0.2334903,0.44995898,0.47252965,0.5685033,0.37818,0.6857377,0.7321808,0.64483505
0.442223360455156,0.78236526,0.7427159,0.82196635,0.69796777,0.73246515,0.662914,0.82996595,0.847626,0.8130268
0.685200524504157,0.8887678,0.8515966,0.92648345,0.7961203,0.8142084,0.7774848,0.8890711,0.9139544,0.8655069
1.16917233769878,1.0000002,1.0000002,1.0000002,0.99999964,0.99999964,0.99999964,0.9999999,0.9999999,0.9999999
-0.642182387542613,0.55956423,0.5734581,0.5424071,0.69496167,0.6862571,0.7026987,0.78526926,0.7975472,0.7733637
0.781933138689192,0.7896486,0.7754479,0.8023512,0.65346867,0.66495794,0.6409023,0.8733151,0.8817148,0.8650738
0.732574978174809,0.79750836,0.7781859,0.81557727,0.7069038,0.7439064,0.6694357,0.838742,0.8626753,0.81610084
0.54365743223876,0.8258561,0.8592254,0.7922549,0.81722105,0.78372264,0.85051554,0.8620105,0.8010423,0.9330239
0.0395019684509958,0.67821693,0.6811906,0.6726663,0.5105906,0.51377404,0.50582004,0.7557181,0.7375876,0.7747625
0.438320946918647,0.7325187,0.71743435,0.74567103,0.6488871,0.65201694,0.64461917,0.7930323,0.7947394,0.7913324
0.637397360568535,0.7766673,0.76562923,0.78601915,0.76313853,0.81644994,0.7100447,0.86343414,0.87915796,0.84826285
-0.0599603197172106,0.7809326,0.7547015,0.8061187,0.7073643,0.75510246,0.65948015,0.86691266,0.8905311,0.8445146
0.892141225621965,0.91467744,0.9143441,0.91432244,0.8926239,0.89245296,0.89244545,0.9455938,0.9455938,0.9455938
0.126346159204011,0.56253153,0.5433457,0.5785752,0.49009487,0.53702855,0.44232458,0.7882026,0.8028357,0.7740934
0.568044302299634,0.84337467,0.8207293,0.8652814,0.8517705,0.86785144,0.8352973,0.91945994,0.92767256,0.9113915
0.207967307642376,0.7457834,0.7218415,0.7682757,0.74137455,0.7300623,0.75188714,0.8791754,0.87151456,0.8869722
0.632553007971567,0.84859806,0.84800655,0.8479681,0.7476428,0.74302703,0.7514439,0.9218479,0.9218479,0.9218479
-0.821648992404251,0.30163467,0.26638865,0.33287686,0.21135013,0.20445092,0.21569599,0.61017907,0.6174618,0.6030661
-0.226735533679534,0.48699585,0.4420149,0.5303639,0.40614545,0.48959166,0.32334605,0.71294224,0.73078924,0.6959462
-0.0614291208948423,0.50237393,0.49511498,0.5056555,0.6213948,0.6030813,0.6385906,0.7562735,0.7663373,0.7464707
0.261883650014704,0.65163136,0.6843387,0.6174033,0.5183718,0.5107037,0.52449095,0.7717354,0.73883545,0.80770195
0.52172969608004,0.6743999,0.67287916,0.67329377,0.7442419,0.7439906,0.74366075,0.8116994,0.81714153,0.80632925
-0.342418505949285,0.41026038,0.38778135,0.42855296,0.32499695,0.32356265,0.3242343,0.6962746,0.69800895,0.69454885
-0.512695108641565,0.42237103,0.39212325,0.44905844,0.5794307,0.60004175,0.5576128,0.72544926,0.7231561,0.7277571
0.235837009007834,0.75631124,0.76488477,0.74586755,0.73861426,0.7583376,0.7181809,0.8363103,0.83798087,0.83464646
-0.144764373218382,0.69701123,0.6815566,0.71025974,0.6434738,0.6482179,0.63757956,0.8594365,0.85928184,0.8595913
-0.115711662814428,0.64653414,0.64515316,0.6450634,0.8099378,0.8096351,0.8096218,0.8489168,0.8489168,0.8489168
